ResponseId,CounterBalance,Domain,Nudge,Treatment,measure,value
R_r0Ulwjm2O6KaZSp,5,Retirement Savings,Default,Choice,acceptability,7
R_331Q82a7NP6ZnSJ,5,Retirement Savings,Default,Choice,acceptability,1
R_z74ShAEAZwT7cIx,5,Retirement Savings,Default,Choice,acceptability,3
R_1NqRrPTK4NBB0CE,5,Retirement Savings,Default,Choice,acceptability,4
R_1QflQWDGKo8Gl4T,5,Retirement Savings,Default,Choice,acceptability,4
R_2dSb1Nbp2vMbaDQ,5,Retirement Savings,Default,Choice,acceptability,6
R_sgP0qp7fmALYkPT,5,Retirement Savings,Default,Choice,acceptability,4
R_2zp4Olpn08NG3se,5,Retirement Savings,Default,Choice,acceptability,5
R_2ASeqGjkUsOEYK9,5,Retirement Savings,Default,Choice,acceptability,5
R_3O2LLQuI7Hyc7Au,5,Retirement Savings,Default,Choice,acceptability,4
R_XB5If00YHEbCGzf,5,Retirement Savings,Default,Choice,acceptability,4
R_3gR8yFZMbnCWyAE,5,Retirement Savings,Default,Choice,acceptability,5
R_3k1A2aQwSvoaAcc,5,Retirement Savings,Default,Choice,acceptability,5
R_1FCUn1Mmop7uVAT,5,Retirement Savings,Default,Choice,acceptability,5
R_22rww56N9QNV2Gk,5,Retirement Savings,Default,Choice,acceptability,3
R_3qvu64ntOrlkTyK,5,Retirement Savings,Default,Choice,acceptability,5
R_3m3vehvBwE3y1hu,5,Retirement Savings,Default,Choice,acceptability,6
R_3KxflPAFCthwJo5,5,Retirement Savings,Default,Choice,acceptability,3
R_3De9rV5JdnvEoyU,5,Retirement Savings,Default,Choice,acceptability,5
R_6F3KoVWQUwKNnrP,5,Retirement Savings,Default,Choice,acceptability,5
R_2TSjykpn84GEVtz,5,Retirement Savings,Default,Choice,acceptability,1
R_1NeroelYUKjU8lb,5,Retirement Savings,Default,Choice,acceptability,6
R_3EhGT2xXtm4BWtc,5,Retirement Savings,Default,Choice,acceptability,3
R_1l0uutWgGsAOhgB,5,Retirement Savings,Default,Choice,acceptability,4
R_O0B2n5Mpk26fk41,5,Retirement Savings,Default,Choice,acceptability,1
R_1prswasmpDqFVi9,5,Retirement Savings,Default,Choice,acceptability,3
R_1CqGTozF82DpwoR,5,Retirement Savings,Default,Choice,acceptability,3
R_1LbbB7XHilhiBAE,5,Retirement Savings,Default,Choice,acceptability,7
R_pmDzeJUoWZccHmN,5,Retirement Savings,Default,Choice,acceptability,7
R_1jjnty7EJa9uCw1,4,Electric Vehicle,Default,Effectiveness,acceptability,1
R_vcwOtPhiSuhcQKd,4,Electric Vehicle,Default,Effectiveness,acceptability,2
R_3QWRNcOj7uJNxPy,4,Electric Vehicle,Default,Effectiveness,acceptability,3
R_Un1uXQDmG7vBQ9b,4,Electric Vehicle,Default,Effectiveness,acceptability,3
R_1JDtS4xCPDGyGTQ,4,Electric Vehicle,Default,Effectiveness,acceptability,3
R_2RQAPPqUYDxYDCr,4,Electric Vehicle,Default,Effectiveness,acceptability,3
R_1hFpNRWd0Zfgu6E,4,Electric Vehicle,Default,Effectiveness,acceptability,3
